,Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
0,2019-07-23,78909.0,4941.0,23354.0,9444.0,19178.0,872.0,23733.0,22818.0,4745.0,23818.0,3575.0,908.0,68462.0,75452.0,10447.0,3458.0
1,2019-07-16,79470.0,5546.0,21377.0,9995.0,17722.0,948.0,21017.0,26416.0,5909.0,24280.0,2711.0,1040.0,68735.0,76123.0,10735.0,3347.0
2,2019-07-09,81254.0,6666.0,17360.0,12759.0,15847.0,593.0,19440.0,35091.0,4703.0,25014.0,3340.0,778.0,69954.0,77711.0,11301.0,3543.0
3,2019-07-02,83000.0,7193.0,18282.0,10414.0,16712.0,1007.0,21189.0,36607.0,4852.0,26471.0,1724.0,795.0,71921.0,79979.0,11078.0,3021.0
4,2019-06-25,90621.0,8461.0,16221.0,13109.0,16265.0,1438.0,21197.0,44676.0,4752.0,26837.0,1933.0,2126.0,77920.0,87412.0,12701.0,3210.0
5,2019-06-18,93721.0,11281.0,19136.0,12249.0,15202.0,2296.0,20794.0,41853.0,5822.0,25493.0,3007.0,2627.0,80563.0,89944.0,13159.0,3777.0
6,2019-06-11,89527.0,9690.0,20101.0,11062.0,15977.0,2274.0,22758.0,38218.0,5555.0,24545.0,2075.0,1881.0,77764.0,86081.0,11762.0,3446.0
7,2019-06-04,85971.0,7862.0,17343.0,10122.0,15818.0,1897.0,25888.0,38602.0,5373.0,22203.0,2314.0,1339.0,74682.0,82685.0,11288.0,3285.0
8,2019-05-28,85480.0,7954.0,17398.0,11202.0,16520.0,1586.0,25300.0,35428.0,4718.0,21658.0,4195.0,1465.0,73882.0,81309.0,11598.0,4170.0
9,2019-05-21,80441.0,6917.0,21115.0,11344.0,18997.0,1402.0,25981.0,25862.0,4574.0,19550.0,4733.0,957.0,70724.0,77639.0,9717.0,2802.0
10,2019-05-14,77052.0,5808.0,26498.0,9405.0,21340.0,1055.0,27168.0,13779.0,5665.0,17969.0,5102.0,915.0,67984.0,74354.0,9068.0,2698.0
11,2019-05-07,76776.0,5760.0,28089.0,8861.0,22492.0,829.0,29025.0,10678.0,5377.0,17063.0,5942.0,875.0,67790.0,74282.0,8985.0,2493.0
12,2019-04-30,75798.0,5083.0,28714.0,7370.0,24564.0,513.0,32154.0,10295.0,3974.0,16034.0,4571.0,666.0,65794.0,73297.0,10004.0,2501.0
13,2019-04-23,77382.0,5395.0,29606.0,7842.0,23510.0,642.0,32523.0,9750.0,5170.0,14841.0,5147.0,980.0,67393.0,74806.0,9989.0,2576.0
14,2019-04-16,76596.0,5512.0,29966.0,7249.0,23174.0,1173.0,31612.0,8718.0,5132.0,14964.0,4529.0,1051.0,66693.0,73743.0,9903.0,2853.0
15,2019-04-09,77891.0,5378.0,30013.0,6944.0,23752.0,1381.0,31269.0,9046.0,4893.0,16532.0,4677.0,1098.0,67495.0,74859.0,10396.0,3032.0
16,2019-04-02,69809.0,6345.0,26080.0,6996.0,17973.0,1432.0,24680.0,13492.0,3230.0,17174.0,3763.0,616.0,60474.0,66587.0,9336.0,3222.0
17,2019-03-26,73742.0,6058.0,26718.0,7185.0,18607.0,2440.0,25882.0,14437.0,2824.0,18029.0,3855.0,1250.0,63667.0,70132.0,10075.0,3610.0
18,2019-03-19,78561.0,7731.0,26574.0,8156.0,16289.0,3215.0,23275.0,20181.0,4103.0,20328.0,3597.0,979.0,67786.0,74937.0,10775.0,3624.0
19,2019-03-12,79367.0,8335.0,27130.0,9307.0,15641.0,3128.0,22797.0,21025.0,3966.0,20077.0,3985.0,1173.0,68783.0,76049.0,10584.0,3318.0
20,2019-03-05,79627.0,7680.0,27927.0,7490.0,16855.0,3973.0,25634.0,16420.0,5104.0,18425.0,4418.0,1188.0,69494.0,75884.0,10133.0,3743.0
21,2019-02-26,82539.0,7372.0,25127.0,6849.0,15394.0,2907.0,27114.0,26077.0,4489.0,21239.0,3983.0,1330.0,71299.0,79307.0,11240.0,3232.0
22,2019-02-19,85019.0,8982.0,19432.0,9848.0,10120.0,2167.0,26245.0,43268.0,2870.0,22277.0,2574.0,1207.0,73595.0,81638.0,11424.0,3381.0
23,2019-02-12,86462.0,8945.0,19945.0,14258.0,10470.0,1386.0,23202.0,42769.0,2952.0,22496.0,4082.0,1085.0,74324.0,82689.0,12138.0,3772.0
24,2019-02-05,82363.0,9286.0,22292.0,10271.0,12507.0,2024.0,25328.0,35980.0,3196.0,19937.0,2229.0,816.0,70859.0,79045.0,11504.0,3319.0
25,2019-01-29,83588.0,9449.0,21683.0,10366.0,11798.0,1904.0,26792.0,39349.0,2769.0,20072.0,2029.0,758.0,72110.0,80290.0,11478.0,3298.0
26,2019-01-22,86612.0,10156.0,20501.0,11114.0,12352.0,1308.0,24725.0,41153.0,2648.0,23286.0,4205.0,703.0,73940.0,82869.0,12671.0,3742.0
27,2019-01-15,84585.0,9194.0,20687.0,10794.0,15434.0,1477.0,26882.0,37582.0,2378.0,21522.0,2805.0,610.0,72857.0,80973.0,11728.0,3612.0
28,2019-01-08,88045.0,8487.0,22464.0,10244.0,17480.0,2064.0,29995.0,37236.0,2895.0,22578.0,2461.0,633.0,76894.0,85232.0,11150.0,2812.0
29,2018-12-31,83669.0,8438.0,22348.0,9784.0,15793.0,1364.0,31109.0,35185.0,2308.0,19585.0,2627.0,572.0,73159.0,80197.0,10510.0,3472.0
30,2018-12-24,82399.0,8332.0,21465.0,8759.0,14837.0,3205.0,28393.0,32957.0,2910.0,19308.0,2716.0,535.0,71441.0,78624.0,10958.0,3776.0
31,2018-12-18,83684.0,8154.0,20726.0,8946.0,14694.0,3208.0,28191.0,33038.0,4419.0,19202.0,2540.0,999.0,73119.0,79623.0,10565.0,4061.0
32,2018-12-11,82978.0,7516.0,19495.0,9771.0,15103.0,1605.0,27988.0,33063.0,4632.0,20439.0,4194.0,926.0,72877.0,79018.0,10101.0,3960.0
33,2018-12-04,77444.0,7434.0,21140.0,8705.0,16128.0,1268.0,26998.0,26955.0,3011.0,19360.0,4394.0,971.0,67748.0,73868.0,9696.0,3576.0
34,2018-11-27,73473.0,6994.0,24351.0,7464.0,18776.0,1749.0,27210.0,17221.0,2822.0,18069.0,4345.0,883.0,65192.0,70146.0,8282.0,3327.0
35,2018-11-20,71206.0,7034.0,22798.0,7350.0,19513.0,1812.0,25628.0,16742.0,2773.0,17785.0,3698.0,778.0,63160.0,68113.0,8046.0,3093.0
36,2018-11-13,72031.0,7183.0,25417.0,6757.0,16518.0,2455.0,25743.0,15522.0,3498.0,17756.0,4751.0,805.0,64198.0,68965.0,7833.0,3066.0
37,2018-11-06,77229.0,7590.0,27344.0,6938.0,18958.0,1857.0,26702.0,16127.0,4878.0,19907.0,4126.0,1175.0,69046.0,74465.0,8184.0,2765.0
38,2018-10-30,76986.0,8819.0,23617.0,8468.0,14620.0,2123.0,24424.0,24878.0,4507.0,19433.0,2961.0,981.0,68755.0,73686.0,8231.0,3300.0
39,2018-10-23,76343.0,9458.0,21838.0,8870.0,14059.0,2248.0,21624.0,25366.0,4641.0,20162.0,3580.0,917.0,67919.0,72647.0,8423.0,3696.0
40,2018-10-16,77778.0,9757.0,22241.0,7700.0,15532.0,2168.0,23554.0,26159.0,5056.0,19996.0,2841.0,875.0,69107.0,74873.0,8671.0,2905.0
41,2018-10-09,75613.0,10686.0,19680.0,7580.0,12457.0,2007.0,23698.0,29625.0,4378.0,17906.0,2768.0,860.0,67115.0,71775.0,8497.0,3838.0
42,2018-10-02,74794.0,10289.0,18110.0,7864.0,12862.0,2202.0,23211.0,31025.0,3846.0,18167.0,2223.0,829.0,66408.0,71097.0,8386.0,3697.0
43,2018-09-25,77491.0,10402.0,17877.0,8458.0,10204.0,2284.0,21323.0,33623.0,6293.0,18203.0,2272.0,1286.0,68250.0,73840.0,9241.0,3651.0
44,2018-09-18,90261.0,11859.0,18947.0,9287.0,6813.0,4839.0,22408.0,41740.0,10616.0,19968.0,2136.0,1379.0,80357.0,86471.0,9904.0,3790.0
45,2018-09-11,94757.0,11886.0,19752.0,14123.0,5593.0,6454.0,20483.0,46594.0,9322.0,20778.0,1828.0,1367.0,84412.0,90910.0,10345.0,3847.0
46,2018-09-04,91003.0,11849.0,17869.0,15855.0,4587.0,4953.0,18196.0,48521.0,7174.0,21303.0,2519.0,1014.0,80344.0,86637.0,10658.0,4366.0
47,2018-08-28,86718.0,11887.0,19208.0,15834.0,5132.0,3707.0,17504.0,47078.0,5147.0,20865.0,1824.0,921.0,75865.0,83016.0,10853.0,3702.0
48,2018-08-21,85597.0,12187.0,18446.0,15284.0,5084.0,3520.0,18302.0,47007.0,4127.0,20617.0,2497.0,1015.0,75053.0,81697.0,10545.0,3900.0
49,2018-08-14,85394.0,11201.0,18460.0,14907.0,4433.0,2868.0,19947.0,47918.0,3911.0,21005.0,2957.0,641.0,74481.0,81189.0,10913.0,4205.0
50,2018-08-07,80795.0,10856.0,19100.0,12981.0,4118.0,2220.0,19207.0,44585.0,4051.0,20132.0,2142.0,758.0,70206.0,76974.0,10589.0,3821.0
51,2018-07-31,84105.0,10828.0,19945.0,13156.0,3777.0,2587.0,20128.0,45972.0,3793.0,22072.0,3374.0,644.0,73209.0,80092.0,10896.0,4013.0
52,2018-07-24,81578.0,10549.0,18971.0,12708.0,3247.0,2625.0,18800.0,45875.0,2985.0,22798.0,3188.0,643.0,71109.0,77534.0,10469.0,4044.0
53,2018-07-17,82307.0,11138.0,18485.0,13775.0,3813.0,2401.0,16862.0,45969.0,2979.0,23335.0,3437.0,733.0,71224.0,77818.0,11084.0,4490.0
54,2018-07-10,83117.0,11425.0,19609.0,12354.0,4439.0,2263.0,16771.0,44898.0,3673.0,24793.0,2979.0,749.0,72027.0,78610.0,11090.0,4507.0
55,2018-07-03,84700.0,11457.0,20046.0,13361.0,4854.0,1694.0,16718.0,44831.0,4483.0,25182.0,3509.0,909.0,73805.0,80326.0,10895.0,4374.0
56,2018-06-26,87565.0,12877.0,22153.0,12526.0,4525.0,3283.0,17677.0,43845.0,4824.0,24034.0,3398.0,977.0,76197.0,83005.0,11368.0,4560.0
57,2018-06-19,89821.0,11334.0,23769.0,14314.0,4357.0,3691.0,18491.0,43499.0,3931.0,24641.0,4449.0,1597.0,77999.0,85292.0,11822.0,4529.0
58,2018-06-12,86960.0,9355.0,26226.0,11692.0,5623.0,2748.0,22170.0,39539.0,4857.0,23878.0,2371.0,1217.0,75917.0,82581.0,11043.0,4379.0
59,2018-06-05,85287.0,9725.0,25998.0,11714.0,4519.0,3078.0,20801.0,39869.0,3735.0,24760.0,3182.0,1118.0,74931.0,81498.0,10356.0,3789.0
60,2018-05-29,82157.0,8524.0,26515.0,11166.0,3806.0,2092.0,20746.0,39083.0,3218.0,25387.0,2637.0,1066.0,72198.0,78416.0,9959.0,3741.0
61,2018-05-22,81271.0,9606.0,26015.0,10978.0,3073.0,2609.0,18428.0,38621.0,2988.0,25107.0,2995.0,1155.0,70871.0,77455.0,10400.0,3815.0
62,2018-05-15,81381.0,7981.0,27599.0,10058.0,4102.0,2177.0,21673.0,35492.0,3599.0,24850.0,2986.0,1300.0,71639.0,77255.0,9742.0,4127.0
63,2018-05-08,81246.0,8395.0,26675.0,8906.0,6480.0,1934.0,23002.0,34396.0,3575.0,24902.0,3379.0,943.0,71657.0,77381.0,9589.0,3865.0
64,2018-05-01,81422.0,7756.0,26983.0,9776.0,6968.0,2086.0,22502.0,33747.0,3476.0,24769.0,3065.0,1028.0,71393.0,77354.0,10029.0,4068.0
65,2018-04-24,76715.0,7034.0,29459.0,9275.0,9620.0,1841.0,22683.0,24931.0,3616.0,23194.0,3232.0,840.0,68483.0,73539.0,8233.0,3177.0
66,2018-04-17,78001.0,7184.0,29139.0,9416.0,9899.0,2294.0,20570.0,24146.0,4825.0,23826.0,3474.0,1010.0,69125.0,74787.0,8876.0,3214.0
67,2018-04-10,77910.0,7019.0,28925.0,8057.0,9516.0,2434.0,18647.0,23420.0,5419.0,26990.0,4024.0,899.0,69466.0,74638.0,8444.0,3272.0
68,2018-04-03,77372.0,7005.0,29828.0,6901.0,11757.0,2375.0,19445.0,18814.0,5183.0,26719.0,4498.0,1040.0,68669.0,73495.0,8704.0,3877.0
69,2018-03-27,77698.0,7039.0,32627.0,6321.0,13197.0,3193.0,22255.0,13973.0,4743.0,24413.0,5224.0,1277.0,69241.0,74233.0,8458.0,3465.0
70,2018-03-20,80680.0,7225.0,33562.0,6376.0,14106.0,4159.0,25151.0,12254.0,6136.0,21845.0,6233.0,903.0,71795.0,77354.0,8885.0,3326.0
71,2018-03-13,81491.0,7803.0,37085.0,5991.0,16876.0,3629.0,27346.0,10446.0,4754.0,22269.0,5500.0,620.0,72412.0,78910.0,9080.0,2581.0
72,2018-03-06,82686.0,7972.0,38734.0,4957.0,17113.0,2405.0,31366.0,10480.0,4196.0,22002.0,6719.0,877.0,73775.0,80524.0,8911.0,2162.0
73,2018-02-27,87734.0,7434.0,41348.0,5050.0,19757.0,1772.0,39472.0,12066.0,2693.0,22151.0,6649.0,1350.0,79921.0,85633.0,7813.0,2101.0
74,2018-02-20,88598.0,7221.0,40310.0,5203.0,21161.0,2163.0,39961.0,11340.0,3220.0,21048.0,6138.0,1885.0,80701.0,86218.0,7898.0,2381.0
75,2018-02-13,86597.0,8295.0,38818.0,5287.0,20193.0,2078.0,37988.0,11846.0,3050.0,20228.0,6919.0,1401.0,78328.0,84305.0,8270.0,2292.0
76,2018-02-06,93720.0,9330.0,40357.0,4677.0,22553.0,1980.0,42948.0,12717.0,3919.0,21248.0,7700.0,1491.0,85593.0,90716.0,8127.0,3004.0
77,2018-01-30,95094.0,9434.0,40805.0,4300.0,24194.0,1796.0,43892.0,11691.0,3947.0,21648.0,8409.0,1498.0,86514.0,92341.0,8580.0,2754.0
78,2018-01-23,93518.0,8861.0,40502.0,4094.0,23374.0,1867.0,41582.0,12676.0,3396.0,23638.0,7450.0,1608.0,85046.0,90874.0,8472.0,2644.0
79,2018-01-16,89211.0,9891.0,36844.0,4168.0,20606.0,2172.0,33247.0,13441.0,3675.0,25080.0,7352.0,2455.0,80689.0,86546.0,8522.0,2665.0
80,2018-01-09,83666.0,9940.0,33513.0,4562.0,17746.0,1818.0,27618.0,16541.0,3615.0,25321.0,5605.0,1723.0,74596.0,80561.0,9070.0,3105.0
81,2018-01-02,83989.0,8386.0,28883.0,7237.0,12478.0,2197.0,27106.0,29835.0,2691.0,25187.0,3411.0,1308.0,74113.0,80803.0,9876.0,3186.0
82,2017-12-26,87386.0,8598.0,28445.0,7258.0,10912.0,2443.0,28639.0,32849.0,3222.0,25832.0,4308.0,1120.0,77113.0,83300.0,10273.0,4086.0
83,2017-12-19,89560.0,9094.0,27663.0,7998.0,9367.0,2938.0,27148.0,35500.0,3745.0,25789.0,4167.0,1942.0,78655.0,85323.0,10906.0,4237.0
84,2017-12-12,90038.0,6798.0,26460.0,10192.0,9498.0,1908.0,26987.0,35058.0,4552.0,26913.0,6407.0,2116.0,79466.0,85999.0,10572.0,4038.0
85,2017-12-05,80168.0,6371.0,32300.0,5656.0,12782.0,1802.0,29361.0,20408.0,4092.0,23053.0,4860.0,391.0,70727.0,76636.0,9441.0,3532.0
86,2017-11-28,80002.0,5950.0,33990.0,5051.0,15614.0,1562.0,29247.0,17522.0,4098.0,24901.0,3781.0,856.0,71664.0,77423.0,8338.0,2578.0
87,2017-11-21,79211.0,5640.0,32492.0,6538.0,12222.0,1455.0,27202.0,22541.0,3656.0,25347.0,3029.0,493.0,70331.0,75888.0,8881.0,3324.0
88,2017-11-14,79910.0,5755.0,32247.0,6672.0,11255.0,1707.0,26906.0,24062.0,2869.0,26318.0,3609.0,673.0,70899.0,76422.0,9011.0,3488.0
89,2017-11-07,79302.0,6272.0,31254.0,7269.0,10377.0,1743.0,25572.0,25639.0,2547.0,26013.0,3763.0,746.0,70163.0,76069.0,9139.0,3233.0
90,2017-10-31,78743.0,6158.0,30300.0,8889.0,10177.0,1578.0,24316.0,26262.0,2294.0,25198.0,3734.0,832.0,69265.0,75177.0,9477.0,3565.0
91,2017-10-24,76531.0,5848.0,30960.0,8477.0,10480.0,1498.0,23293.0,25387.0,2017.0,25183.0,2186.0,732.0,67049.0,73260.0,9482.0,3271.0
92,2017-10-17,76437.0,6504.0,31506.0,5601.0,11116.0,1688.0,25240.0,24661.0,1577.0,25538.0,1928.0,748.0,66896.0,73223.0,9542.0,3214.0
93,2017-10-10,76511.0,6333.0,30434.0,5821.0,10606.0,1617.0,24733.0,26221.0,1522.0,25591.0,2118.0,1009.0,66626.0,73527.0,9885.0,2983.0
94,2017-10-03,72421.0,6429.0,30168.0,6881.0,11086.0,1317.0,22188.0,20165.0,1642.0,23772.0,3952.0,896.0,63126.0,69227.0,9295.0,3194.0
95,2017-09-26,71501.0,6391.0,31754.0,6261.0,13037.0,1391.0,22137.0,14556.0,2496.0,22202.0,4495.0,969.0,61847.0,68698.0,9654.0,2802.0
