,Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
0,2019-07-23,293748.0,11686.0,71661.0,53206.0,74778.0,24881.0,92638.0,38477.0,12217.0,18818.0,12943.0,46050.0,259497.0,281008.0,34252.0,12740.0
1,2019-07-16,269406.0,18048.0,64963.0,52586.0,66125.0,19082.0,79359.0,51263.0,11253.0,21397.0,11467.0,33587.0,235312.0,257740.0,34094.0,11666.0
2,2019-07-09,251401.0,18927.0,53779.0,52492.0,61511.0,17525.0,76443.0,60976.0,7938.0,17461.0,9936.0,28044.0,218829.0,239708.0,32572.0,11692.0
3,2019-07-02,254300.0,18792.0,58650.0,52510.0,63644.0,17644.0,81417.0,59655.0,8238.0,16659.0,9864.0,25556.0,220817.0,243252.0,33483.0,11048.0
4,2019-06-25,261136.0,24094.0,64775.0,51679.0,64143.0,16714.0,80107.0,56635.0,9433.0,16596.0,10351.0,26184.0,224807.0,248235.0,36329.0,12901.0
5,2019-06-18,275681.0,28614.0,60152.0,50893.0,53518.0,24830.0,73343.0,68595.0,15790.0,18630.0,9689.0,28207.0,240306.0,260782.0,35374.0,14898.0
6,2019-06-11,259262.0,28414.0,57725.0,50923.0,45247.0,20306.0,65103.0,73648.0,13405.0,17561.0,8596.0,25192.0,220905.0,244119.0,38356.0,15142.0
7,2019-06-04,246942.0,27677.0,52531.0,50834.0,37326.0,16711.0,56824.0,76755.0,14063.0,18020.0,8079.0,26037.0,210166.0,231502.0,36776.0,15440.0
8,2019-05-28,244631.0,31507.0,48591.0,55122.0,34273.0,13121.0,49327.0,88369.0,13769.0,21406.0,8380.0,22794.0,207046.0,229297.0,37585.0,15334.0
9,2019-05-21,243322.0,30558.0,48579.0,53477.0,36118.0,15028.0,51874.0,82734.0,12704.0,19395.0,8649.0,24909.0,207944.0,228720.0,35378.0,14602.0
10,2019-05-14,232018.0,28030.0,48539.0,50140.0,39954.0,14350.0,56775.0,71721.0,10999.0,18586.0,8935.0,20391.0,199271.0,214888.0,32747.0,17130.0
11,2019-05-07,227685.0,25735.0,44501.0,49401.0,45601.0,15693.0,55829.0,70722.0,9750.0,19719.0,7931.0,20320.0,196447.0,214517.0,31238.0,13168.0
12,2019-04-30,223856.0,22005.0,46353.0,50374.0,45864.0,16368.0,52150.0,66404.0,8760.0,23427.0,9006.0,19299.0,192382.0,212054.0,31474.0,11802.0
13,2019-04-23,253990.0,29907.0,56393.0,50850.0,42132.0,25741.0,49862.0,67732.0,13214.0,23792.0,8994.0,23847.0,217214.0,238052.0,36776.0,15938.0
14,2019-04-16,257624.0,28275.0,55800.0,48594.0,43547.0,32461.0,50324.0,61162.0,15503.0,23721.0,9088.0,22992.0,221871.0,240554.0,35753.0,17070.0
15,2019-04-09,240219.0,21541.0,54028.0,48409.0,53540.0,23503.0,49629.0,52102.0,14076.0,25329.0,7540.0,21312.0,203800.0,226101.0,36419.0,14118.0
16,2019-04-02,229934.0,18679.0,48630.0,48535.0,52503.0,19642.0,52251.0,54030.0,9133.0,25515.0,8216.0,23947.0,197703.0,216102.0,32232.0,13832.0
17,2019-03-26,220696.0,17411.0,52130.0,48476.0,60978.0,18579.0,52518.0,40257.0,7851.0,23596.0,9232.0,20481.0,188912.0,209507.0,31784.0,11189.0
18,2019-03-19,221570.0,17091.0,50483.0,48556.0,58607.0,19643.0,52256.0,42262.0,8892.0,20941.0,8863.0,21954.0,189332.0,210704.0,32237.0,10866.0
19,2019-03-12,221854.0,15080.0,51016.0,47193.0,57419.0,21967.0,51427.0,41794.0,10608.0,23352.0,6894.0,19567.0,189194.0,209266.0,32660.0,12589.0
20,2019-03-05,221471.0,13333.0,54233.0,48072.0,59373.0,23164.0,55164.0,37023.0,10059.0,20130.0,6942.0,19047.0,188968.0,209839.0,32502.0,11631.0
21,2019-02-26,235837.0,13635.0,61637.0,47014.0,77259.0,26374.0,73249.0,24936.0,7715.0,16995.0,7355.0,18702.0,203684.0,223978.0,32153.0,11859.0
22,2019-02-19,263313.0,19227.0,65570.0,47756.0,77123.0,32881.0,70462.0,31078.0,9356.0,19041.0,7093.0,26265.0,224987.0,249366.0,38326.0,13948.0
23,2019-02-12,256779.0,16316.0,64213.0,52153.0,81194.0,28812.0,72656.0,29586.0,8489.0,17396.0,6325.0,24116.0,219938.0,242736.0,36841.0,14044.0
24,2019-02-05,247628.0,11386.0,59566.0,51577.0,82541.0,23808.0,74517.0,25811.0,8160.0,15579.0,6710.0,27131.0,212158.0,233726.0,35470.0,13902.0
25,2019-01-29,233416.0,9531.0,55610.0,51645.0,79294.0,22103.0,66650.0,26001.0,8864.0,19817.0,5545.0,22182.0,200793.0,219599.0,32623.0,13818.0
26,2019-01-22,227247.0,9109.0,51896.0,51537.0,75063.0,20589.0,62875.0,27314.0,8294.0,20144.0,6470.0,23026.0,195576.0,212652.0,31671.0,14594.0
27,2019-01-15,233109.0,9256.0,55260.0,51535.0,78386.0,20546.0,65408.0,26059.0,9137.0,20310.0,6428.0,24439.0,200632.0,220255.0,32477.0,12854.0
28,2019-01-08,227999.0,8016.0,52844.0,50802.0,76107.0,20045.0,67836.0,25028.0,9541.0,19311.0,6744.0,22595.0,198145.0,212903.0,29853.0,15096.0
29,2018-12-31,214575.0,13018.0,53048.0,40484.0,59317.0,20251.0,60665.0,30324.0,7802.0,21973.0,6741.0,22396.0,186591.0,199879.0,27985.0,14696.0
30,2018-12-24,212016.0,13645.0,46104.0,42755.0,50238.0,20910.0,52721.0,44145.0,7381.0,22846.0,6584.0,22909.0,183167.0,198271.0,28849.0,13745.0
31,2018-12-18,209312.0,14070.0,45282.0,43634.0,47456.0,20794.0,48147.0,46235.0,7964.0,24100.0,7289.0,20928.0,179636.0,195948.0,29675.0,13364.0
32,2018-12-11,209886.0,15112.0,43697.0,45232.0,43753.0,21711.0,44456.0,53424.0,8651.0,24680.0,5869.0,19729.0,179572.0,196834.0,30314.0,13052.0
33,2018-12-04,214813.0,15181.0,39545.0,46548.0,37020.0,23469.0,41121.0,63298.0,11245.0,26584.0,6352.0,20356.0,184505.0,201285.0,30308.0,13528.0
34,2018-11-27,233955.0,17175.0,38817.0,47559.0,34437.0,33981.0,39931.0,71780.0,12625.0,26092.0,7256.0,21073.0,198435.0,219969.0,35520.0,13987.0
35,2018-11-20,266168.0,19384.0,39264.0,45835.0,33933.0,38942.0,42457.0,74969.0,29678.0,28167.0,6946.0,26870.0,231335.0,250603.0,34834.0,15565.0
36,2018-11-13,262305.0,20177.0,44687.0,45121.0,26983.0,32104.0,45303.0,84149.0,28675.0,29704.0,8276.0,21641.0,222726.0,246515.0,39578.0,15790.0
