Date,Settle,Relative Value
2019-07-31,1426.1,1388.1311760000015
2019-07-30,1429.7,1388.1311760000015
2019-07-29,1420.4,1388.1311760000015
2019-07-26,1419.3,1388.1311760000015
2019-07-25,1414.7,1393.807608999999
2019-07-24,1423.6,1393.807608999999
2019-07-23,1421.7,1393.807608999999
2019-07-22,1426.9,1393.807608999999
2019-07-19,1426.7,1393.807608999999
2019-07-18,1428.1,1387.1779249999988
2019-07-17,1423.3,1387.1779249999988
2019-07-16,1411.2,1387.1779249999988
2019-07-15,1413.5,1387.1779249999988
2019-07-12,1412.2,1387.1779249999988
2019-07-11,1406.7,1392.312564999998
2019-07-10,1412.5,1392.312564999998
2019-07-09,1400.5,1392.312564999998
2019-07-08,1400.0,1392.312564999998
2019-07-05,1400.1,1392.312564999998
2019-07-03,1420.9,1378.1923399999985
2019-07-02,1408.0,1378.1923399999985
2019-07-01,1389.3,1378.1923399999985
2019-06-28,1413.7,1378.1923399999985
2019-06-27,1412.0,1320.1936943333342
2019-06-26,1411.6,1320.1936943333342
2019-06-25,1414.9,1320.1936943333342
2019-06-24,1414.3,1320.1936943333342
2019-06-21,1396.2,1320.1936943333342
2019-06-20,1392.9,1319.7083026666685
2019-06-19,1344.6,1319.7083026666685
2019-06-18,1346.6,1319.7083026666685
2019-06-17,1338.7,1319.7083026666685
2019-06-14,1340.1,1319.7083026666685
2019-06-13,1339.2,1298.5775306666662
2019-06-12,1331.9,1298.5775306666662
2019-06-11,1326.4,1298.5775306666662
2019-06-10,1324.7,1298.5775306666662
2019-06-07,1341.2,1298.5775306666662
2019-06-06,1337.6,1202.0748330952379
2019-06-05,1328.3,1202.0748330952379
2019-06-04,1323.4,1202.0748330952379
2019-06-03,1322.7,1202.0748330952379
2019-05-31,1305.8,1202.0748330952379
2019-05-30,1287.1,1277.310645333331
2019-05-29,1280.6,1277.310645333331
2019-05-28,1276.5,1277.310645333331
2019-05-24,1283.0,1277.310645333331
2019-05-23,1284.8,1292.2799303333331
2019-05-22,1273.6,1292.2799303333331
2019-05-21,1272.0,1292.2799303333331
2019-05-20,1276.1,1292.2799303333331
2019-05-17,1274.5,1292.2799303333331
2019-05-16,1285.0,1273.5397562857145
2019-05-15,1296.3,1273.5397562857145
2019-05-14,1294.7,1273.5397562857145
2019-05-13,1300.1,1273.5397562857145
2019-05-10,1285.7,1273.5397562857145
2019-05-09,1283.5,1263.355283333333
2019-05-08,1279.4,1263.355283333333
2019-05-07,1283.5,1263.355283333333
2019-05-06,1281.7,1263.355283333333
2019-05-03,1279.2,1263.355283333333
2019-05-02,1269.7,1254.7332422857148
2019-05-01,1281.4,1254.7332422857148
2019-04-30,1282.8,1254.7332422857148
2019-04-29,1278.6,1254.7332422857148
2019-04-26,1284.9,1254.7332422857148
2019-04-25,1275.8,1291.5761026666667
2019-04-24,1275.5,1291.5761026666667
2019-04-23,1269.3,1291.5761026666667
2019-04-22,1273.5,1291.5761026666667
2019-04-18,1271.9,1291.5761026666667
2019-04-17,1272.2,1291.5761026666667
2019-04-16,1272.6,1291.5761026666667
2019-04-15,1286.8,1291.5761026666667
2019-04-12,1290.6,1291.5761026666667
2019-04-11,1288.6,1286.2082269999996
2019-04-10,1309.1,1286.2082269999996
2019-04-09,1303.5,1286.2082269999996
2019-04-08,1297.1,1286.2082269999996
2019-04-05,1290.4,1286.2082269999996
2019-04-04,1289.0,1306.7812979999987
2019-04-03,1289.9,1306.7812979999987
2019-04-02,1290.0,1306.7812979999987
2019-04-01,1288.4,1306.7812979999987
2019-03-29,1293.0,1306.7812979999987
2019-03-28,1289.8,1293.9116693333335
2019-03-27,1309.9,1293.9116693333335
2019-03-26,1314.3,1293.9116693333335
2019-03-25,1321.9,1293.9116693333335
2019-03-22,1311.6,1293.9116693333335
2019-03-21,1306.1,1279.663309619048
2019-03-20,1300.5,1279.663309619048
2019-03-19,1305.0,1279.663309619048
2019-03-18,1300.3,1279.663309619048
2019-03-15,1301.8,1279.663309619048
2019-03-14,1293.4,1294.2344612857144
2019-03-13,1307.5,1294.2344612857144
2019-03-12,1296.3,1294.2344612857144
2019-03-11,1288.8,1294.2344612857144
2019-03-08,1297.0,1294.2344612857144
2019-03-07,1283.8,1320.5147533333322
2019-03-06,1284.9,1320.5147533333322
2019-03-05,1282.0,1320.5147533333322
2019-03-04,1284.8,1320.5147533333322
2019-03-01,1296.4,1320.5147533333322
2019-02-28,1312.8,1319.6778273333355
2019-02-27,1317.7,1319.6778273333355
2019-02-26,1325.1,1319.6778273333355
2019-02-25,1325.9,1319.6778273333355
2019-02-22,1329.2,1319.6778273333355
2019-02-21,1323.5,1303.9628756666677
2019-02-20,1343.3,1303.9628756666677
2019-02-19,1340.1,1303.9628756666677
2019-02-15,1318.1,1303.9628756666677
2019-02-14,1309.8,1311.450221000001
2019-02-13,1310.8,1311.450221000001
2019-02-12,1309.2,1311.450221000001
2019-02-11,1307.0,1311.450221000001
2019-02-08,1313.7,1311.450221000001
2019-02-07,1309.4,1284.0218418571428
2019-02-06,1309.5,1284.0218418571428
2019-02-05,1314.2,1284.0218418571428
2019-02-04,1314.3,1284.0218418571428
2019-02-01,1316.9,1284.0218418571428
2019-01-31,1319.7,1289.9543027142847
2019-01-30,1309.9,1289.9543027142847
2019-01-29,1308.9,1289.9543027142847
2019-01-28,1303.1,1289.9543027142847
2019-01-25,1298.1,1289.9543027142847
2019-01-24,1279.8,1286.3823239523817
2019-01-23,1284.0,1286.3823239523817
2019-01-22,1283.4,1286.3823239523817
2019-01-18,1282.6,1286.3823239523817
