Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2019-07-05,1564.2,1450.9301399999968,-21.799999999999955,-25.875380000005407,-1.0,21.799999999999955,440.6000000000014
2019-06-28,1537.6,1476.8055200000022,26.600000000000136,74.94626000000244,1.0,26.600000000000136,418.80000000000143
2019-06-21,1491.3,1401.8592599999997,46.299999999999955,26.775259999998298,1.0,46.299999999999955,392.2000000000013
2019-06-14,1452.7,1375.0840000000014,38.59999999999991,29.823548333336248,1.0,38.59999999999991,345.90000000000134
2019-06-07,1349.5,1345.2604516666652,103.20000000000005,79.8409049999982,1.0,103.20000000000005,307.30000000000143
2019-05-31,1333.9,1265.419546666667,15.599999999999909,-70.63010300000155,-1.0,-15.599999999999909,204.1000000000014
2019-05-24,1330.4,1336.0496496666685,3.5,5.234733000004326,1.0,3.5,219.7000000000013
2019-05-17,1310.5,1330.8149166666642,19.90000000000009,-18.298347333337915,-1.0,-19.90000000000009,216.2000000000013
2019-05-10,1355.4,1349.1132640000021,-44.90000000000009,0.8133283333374948,1.0,-44.90000000000009,236.1000000000014
2019-05-03,1362.7,1348.2999356666646,-7.2999999999999545,-16.654712333333237,-1.0,7.2999999999999545,281.0000000000015
2019-04-26,1452.2,1364.9546479999979,-89.5,-20.13510699999688,-1.0,89.5,273.7000000000015
2019-04-12,1355.2,1385.0897549999947,97.0,-14.20348500000091,-1.0,-97.0,184.20000000000152
2019-04-05,1349.1,1399.2932399999956,6.100000000000136,-96.82840000000397,-1.0,-6.100000000000136,281.2000000000015
2019-03-29,1345.0,1496.1216399999996,4.099999999999909,39.54922500000066,1.0,4.099999999999909,287.30000000000166
2019-03-22,1535.9,1456.572414999999,-190.9000000000001,-10.3902650000025,-1.0,190.9000000000001,283.20000000000175
2019-03-15,1535.6,1466.9626800000015,0.3000000000001819,15.112635999999384,1.0,0.3000000000001819,92.30000000000166
2019-03-08,1489.0,1451.850044000002,46.59999999999991,22.07920399999921,1.0,46.59999999999991,92.00000000000148
2019-03-01,1536.6,1429.7708400000029,-47.59999999999991,32.022181000000955,1.0,-47.59999999999991,45.40000000000157
2019-02-22,1462.2,1397.748659000002,74.39999999999986,30.15068900000665,1.0,74.39999999999986,93.00000000000148
2019-02-15,1407.2,1367.5979699999953,55.0,37.927479999992784,1.0,55.0,18.600000000001614
2019-02-08,1371.2,1329.6704900000025,36.0,23.243048333335537,1.0,36.0,-36.399999999998386
2019-02-01,1313.6,1306.427441666667,57.600000000000136,6.938455333335924,1.0,57.600000000000136,-72.39999999999839
2019-01-25,1319.8,1299.488986333331,-6.2000000000000455,6.842959666667184,1.0,-6.2000000000000455,-129.99999999999852
2019-01-18,1335.1,1292.6460266666638,-15.299999999999955,7.667061666667678,1.0,-15.299999999999955,-123.79999999999848
2019-01-11,1278.7,1284.9789649999962,56.399999999999864,8.055144999994809,1.0,56.399999999999864,-108.49999999999852
2019-01-04,1234.4,1276.9238200000013,44.299999999999955,14.831413333333785,1.0,44.299999999999955,-164.89999999999839
2018-12-28,1183.4,1262.0924066666676,51.0,96.50072666666597,1.0,51.0,-209.19999999999834
2018-12-21,1207.7,1165.5916800000016,-24.299999999999955,-13.872493333334205,-1.0,24.299999999999955,-260.19999999999834
2018-12-14,1198.6,1179.4641733333358,9.100000000000136,23.77344000000153,1.0,9.100000000000136,-284.4999999999983
