,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
3,2019-07-26,1419.3,1460.8797607421875,,11.105224609375,1.0,,
8,2019-07-19,1426.7,1449.7745361328125,-7.400000000000091,-4.5931396484375,-1.0,7.400000000000091,188.39999999999986
13,2019-07-12,1412.2,1454.36767578125,14.5,77.332275390625,1.0,14.5,180.99999999999977
18,2019-07-05,1400.1,1377.035400390625,12.100000000000136,0.0,0.0,0.0,166.49999999999977
22,2019-06-28,1413.7,1377.035400390625,-13.600000000000136,19.976318359375,1.0,-13.600000000000136,166.49999999999977
27,2019-06-21,1396.2,1357.05908203125,17.5,25.598876953125,1.0,17.5,180.0999999999999
32,2019-06-14,1340.1,1331.460205078125,56.100000000000136,30.64990234375,1.0,56.100000000000136,162.5999999999999
37,2019-06-07,1341.2,1300.810302734375,-1.1000000000001364,-0.67919921875,-1.0,1.1000000000001364,106.49999999999977
42,2019-05-31,1305.8,1301.489501953125,35.40000000000009,-16.5526123046875,-1.0,-35.40000000000009,105.39999999999964
46,2019-05-24,1283.0,1318.0421142578125,22.799999999999955,27.16552734375,1.0,22.799999999999955,140.79999999999973
51,2019-05-17,1274.5,1290.8765869140625,8.5,4.9068603515625,1.0,8.5,117.99999999999977
56,2019-05-10,1285.7,1285.9697265625,-11.200000000000045,4.2041015625,1.0,-11.200000000000045,109.49999999999977
61,2019-05-03,1279.2,1281.765625,6.5,-19.8406982421875,-1.0,-6.5,120.69999999999982
66,2019-04-26,1284.9,1301.6063232421875,-5.7000000000000455,-4.896728515625,-1.0,5.7000000000000455,127.19999999999982
75,2019-04-12,1290.6,1306.5030517578125,-5.699999999999818,-29.0511474609375,-1.0,5.699999999999818,121.49999999999977
80,2019-04-05,1290.4,1335.55419921875,0.1999999999998181,5.3944091796875,1.0,0.1999999999998181,115.79999999999995
85,2019-03-29,1293.0,1330.1597900390625,-2.599999999999909,10.8956298828125,1.0,-2.599999999999909,115.60000000000014
90,2019-03-22,1311.6,1319.26416015625,-18.59999999999991,1.1917724609375,1.0,-18.59999999999991,118.20000000000005
95,2019-03-15,1301.8,1318.0723876953125,9.799999999999955,-44.2274169921875,-1.0,-9.799999999999955,136.79999999999995
100,2019-03-08,1297.0,1362.2998046875,4.7999999999999545,1.13525390625,1.0,4.7999999999999545,146.5999999999999
105,2019-03-01,1296.4,1361.16455078125,0.599999999999909,23.45556640625,1.0,0.599999999999909,141.79999999999995
110,2019-02-22,1329.2,1337.708984375,-32.799999999999955,-6.7264404296875,-1.0,32.799999999999955,141.20000000000005
114,2019-02-15,1318.1,1344.4354248046875,11.100000000000136,22.4931640625,1.0,11.100000000000136,108.40000000000009
119,2019-02-08,1313.7,1321.9422607421875,4.399999999999864,12.981201171875,1.0,4.399999999999864,97.29999999999995
124,2019-02-01,1316.9,1308.9610595703125,-3.2000000000000455,-5.871337890625,-1.0,3.2000000000000455,92.90000000000009
129,2019-01-25,1298.1,1314.8323974609375,18.800000000000182,12.17724609375,1.0,18.800000000000182,89.70000000000005
133,2019-01-18,1282.6,1302.6551513671875,15.5,6.0274658203125,1.0,15.5,70.89999999999986
138,2019-01-11,1289.5,1296.627685546875,-6.900000000000091,19.9786376953125,1.0,-6.900000000000091,55.399999999999864
143,2019-01-04,1285.8,1276.6490478515625,3.7000000000000455,21.93310546875,1.0,3.7000000000000455,62.299999999999955
147,2018-12-28,1283.0,1254.7159423828125,2.7999999999999545,10.476806640625,1.0,2.7999999999999545,58.59999999999991
151,2018-12-21,1253.8,1244.2391357421875,29.200000000000045,4.188720703125,1.0,29.200000000000045,55.799999999999955
156,2018-12-14,1237.0,1240.0504150390625,16.799999999999955,5.115234375,1.0,16.799999999999955,26.59999999999991
161,2018-12-07,1246.8,1234.9351806640625,-9.799999999999955,-0.052978515625,-1.0,9.799999999999955,9.799999999999955
166,2018-11-30,1220.2,1234.9881591796875,26.59999999999991,,,,
