Date,Settle,Relative Value
2019-07-31,1524.4,1501.3473200000026
2019-07-30,1509.1,1501.3473200000026
2019-07-29,1553.8,1501.3473200000026
2019-07-26,1531.0,1501.3473200000026
2019-07-25,1533.9,1305.033863333329
2019-07-24,1538.5,1305.033863333329
2019-07-23,1518.6,1305.033863333329
2019-07-22,1529.2,1305.033863333329
2019-07-19,1508.3,1305.033863333329
2019-07-18,1511.9,1073.148052380952
2019-07-17,1543.2,1073.148052380952
2019-07-16,1516.3,1073.148052380952
2019-07-15,1562.9,1073.148052380952
2019-07-12,1542.4,1073.148052380952
2019-07-11,1559.1,1450.9301399999968
2019-07-10,1588.1,1450.9301399999968
2019-07-09,1539.9,1450.9301399999968
2019-07-08,1558.2,1450.9301399999968
2019-07-05,1564.2,1450.9301399999968
2019-07-03,1565.8,1476.8055200000022
2019-07-02,1552.8,1476.8055200000022
2019-07-01,1544.7,1476.8055200000022
2019-06-28,1537.6,1476.8055200000022
2019-06-27,1538.9,1401.8592599999997
2019-06-26,1518.0,1401.8592599999997
2019-06-25,1521.8,1401.8592599999997
2019-06-24,1520.4,1401.8592599999997
2019-06-21,1491.3,1401.8592599999997
2019-06-20,1472.1,1375.0840000000014
2019-06-19,1484.1,1375.0840000000014
2019-06-18,1464.4,1375.0840000000014
2019-06-17,1446.6,1375.0840000000014
2019-06-14,1452.7,1375.0840000000014
2019-06-13,1429.6,1345.2604516666652
2019-06-12,1397.4,1345.2604516666652
2019-06-11,1381.5,1345.2604516666652
2019-06-10,1378.6,1345.2604516666652
2019-06-07,1349.5,1345.2604516666652
2019-06-06,1342.6,1265.419546666667
2019-06-05,1322.5,1265.419546666667
2019-06-04,1337.1,1265.419546666667
2019-06-03,1313.7,1265.419546666667
2019-05-31,1333.9,1265.419546666667
2019-05-30,1369.8,1336.0496496666685
2019-05-29,1353.3,1336.0496496666685
2019-05-28,1344.2,1336.0496496666685
2019-05-24,1330.4,1336.0496496666685
2019-05-23,1312.5,1330.8149166666642
2019-05-22,1318.2,1330.8149166666642
2019-05-21,1317.2,1330.8149166666642
2019-05-20,1335.7,1330.8149166666642
2019-05-17,1310.5,1330.8149166666642
2019-05-16,1329.4,1349.1132640000021
2019-05-15,1337.6,1349.1132640000021
2019-05-14,1337.7,1349.1132640000021
2019-05-13,1321.5,1349.1132640000021
2019-05-10,1355.4,1349.1132640000021
2019-05-09,1287.7,1348.2999356666646
