,Date,Settle,Relative Value
124,2019-01-29,1308.9,1308.233154296875
125,2019-01-28,1303.1,1308.233154296875
126,2019-01-25,1298.1,1308.233154296875
127,2019-01-24,1279.8,1295.3555908203125
128,2019-01-23,1284.0,1295.3555908203125
129,2019-01-22,1283.4,1295.3555908203125
130,2019-01-18,1282.6,1295.3555908203125
131,2019-01-17,1292.3,1288.406005859375
132,2019-01-16,1293.8,1288.406005859375
133,2019-01-15,1288.4,1288.406005859375
134,2019-01-14,1291.3,1288.406005859375
135,2019-01-11,1289.5,1288.406005859375
136,2019-01-10,1287.4,1269.4742431640625
137,2019-01-09,1292.0,1269.4742431640625
138,2019-01-08,1285.9,1269.4742431640625
139,2019-01-07,1289.9,1269.4742431640625
140,2019-01-04,1285.8,1269.4742431640625
141,2019-01-03,1294.8,1249.05029296875
142,2019-01-02,1284.1,1249.05029296875
143,2018-12-31,1281.3,1249.05029296875
144,2018-12-28,1283.0,1249.05029296875
145,2018-12-27,1277.3,1239.6326904296875
146,2018-12-26,1269.2,1239.6326904296875
147,2018-12-24,1267.5,1239.6326904296875
148,2018-12-21,1253.8,1239.6326904296875
149,2018-12-20,1263.6,1235.0201416015625
150,2018-12-19,1252.1,1235.0201416015625
151,2018-12-18,1249.2,1235.0201416015625
152,2018-12-17,1247.4,1235.0201416015625
153,2018-12-14,1237.0,1235.0201416015625
154,2018-12-13,1242.7,1233.5865478515625
155,2018-12-12,1244.4,1233.5865478515625
156,2018-12-11,1241.9,1233.5865478515625
157,2018-12-10,1243.7,1233.5865478515625
158,2018-12-07,1246.8,1233.5865478515625
159,2018-12-06,1238.1,1237.298583984375
160,2018-12-05,1237.1,1237.298583984375
161,2018-12-04,1241.1,1237.298583984375
162,2018-12-03,1233.9,1237.298583984375
163,2018-11-30,1220.2,1237.298583984375
164,2018-11-29,1224.1,1234.0020751953125
165,2018-11-28,1223.6,1234.0020751953125
166,2018-11-27,1213.4,1234.0020751953125
167,2018-11-26,1222.4,1234.0020751953125
