Date,Settle,RelVal,,,,,14660,,,,,,100
43280,1254.5,1277.939453,23.44 ,(4.60),(1),1.30 ,(130),(10660),1 ,130 ,9140 ,,
43273,1267.4,1282.540894,15.14 ,1.13 ,1 ,(12.90),(1290),(9370),1 ,(1290),10430 ,,
43266,1274.6,1281.409668,6.81 ,(1.74),(1),(7.20),720 ,(10090),1 ,(720),11150 ,,
43259,1298.1,1283.153564,(14.95),7.87 ,1 ,(23.50),(2350),(7740),(1),2350 ,8800 ,,
43252,1294.8,1275.284302,(19.52),(26.64),(1),3.30 ,(330),(7410),(1),(330),9130 ,,
43245,1303.3,1301.919434,(1.38),2.58 ,1 ,(8.50),(850),(6560),(1),850 ,8280 ,,
43238,1290.2,1299.339233,9.14 ,(11.99),(1),13.10 ,(1310),(5250),1 ,1310 ,6970 ,,
43231,1319,1311.333618,(7.67),(20.53),(1),(28.80),2880 ,(8130),(1),2880 ,4090 ,,
43224,1312.7,1331.861328,19.16 ,(7.54),(1),6.30 ,(630),(7500),1 ,630 ,3460 ,,
43217,1320.3,1339.401978,19.10 ,12.10 ,1 ,(7.60),(760),(6740),1 ,(760),4220 ,,
43210,1336.7,1327.299072,(9.40),5.66 ,1 ,(16.40),(1640),(5100),(1),1640 ,2580 ,,
43203,1344.8,1321.641479,(23.16),(12.54),(1),(8.10),810 ,(5910),(1),810 ,1770 ,,
43196,1331.9,1334.179199,2.28 ,20.48 ,1 ,12.90 ,1290 ,(7200),1 ,1290 ,480 ,,
43182,1349.3,1313.696167,(35.60),2.15 ,1 ,(17.40),(1740),(5460),(1),1740 ,(1260),,
43175,1311.3,1311.543335,0.24 ,(10.16),(1),38.00 ,(3800),(1660),1 ,3800 ,(5060),,
43168,1322.4,1321.703613,(0.70),(21.08),(1),(11.10),1110 ,(2770),(1),1110 ,(6170),,
43161,1321.1,1342.788452,21.69 ,29.29 ,1 ,1.30 ,130 ,(2900),1 ,130 ,(6300),,
43154,1328.2,1313.500854,(14.70),(23.93),(1),(7.10),710 ,(3610),(1),710 ,(7010),,
43147,1353.2,1337.426392,(15.77),(18.71),(1),(25.00),2500 ,(6110),(1),2500 ,(9510),,
43140,1313.1,1356.137695,43.04 ,16.05 ,1 ,40.10 ,4010 ,(10120),1 ,4010 ,(13520),,
43133,1333.7,1340.092285,6.39 ,5.75 ,1 ,(20.60),(2060),(8060),1 ,(2060),(11460),,
43126,1352.1,1334.343628,(17.76),13.46 ,1 ,(18.40),(1840),(6220),(1),1840 ,(13300),,
43119,1333.1,1320.888184,(12.21),28.87 ,1 ,19.00 ,1900 ,(8120),(1),(1900),(11400),,
43112,1334.9,1292.015015,(42.88),42.20 ,1 ,(1.80),(180),(7940),(1),180 ,(11580),,
43105,1322.3,1249.812134,(72.49),16.88 ,1 ,12.60 ,1260 ,(9200),(1),(1260),(10320),,
43098,1309.3,1232.930298,(76.37),1.44 ,1 ,13.00 ,1300 ,(10500),(1),(1300),(9020),,
43091,1275.4,1231.493774,(43.91),(33.77),(1),33.90 ,(3390),(7110),(1),(3390),(5630),,
43084,1254.3,1265.267944,10.97 ,(22.04),(1),21.10 ,(2110),(5000),1 ,2110 ,(7740),,
43077,1245.2,1287.304932,42.10 ,12.58 ,1 ,9.10 ,910 ,(5910),1 ,910 ,(8650),,
43070,1278.8,1274.722534,(4.08),(1.08),(1),(33.60),3360 ,(9270),(1),3360 ,(12010),,
43063,1287.3,1275.805908,(11.49),6.05 ,1 ,(8.50),(850),(8420),(1),850 ,(12860),,
43056,1296.5,1269.758667,(26.74),7.12 ,1 ,(9.20),(920),(7500),(1),920 ,(13780),,
43049,1274.2,1262.638916,(11.56),(13.11),(1),22.30 ,(2230),(5270),(1),(2230),(11550),,
43042,1269.2,1275.744263,6.54 ,(15.65),(1),5.00 ,(500),(4770),1 ,500 ,(12050),,
43035,1268.5,1291.395508,22.90 ,15.85 ,1 ,0.70 ,70 ,(4840),1 ,70 ,(12120),,
43028,1277.4,1275.545166,(1.85),(2.80),(1),(8.90),890 ,(5730),(1),890 ,(13010),,
43021,1301.5,1278.342529,(23.16),(26.11),(1),(24.10),2410 ,(8140),(1),2410 ,(15420),,
43014,1271.6,1304.451904,32.85 ,(22.13),(1),29.90 ,(2990),(5150),1 ,2990 ,(18410),,
43007,1281.5,1326.585205,45.09 ,(25.12),(1),(9.90),990 ,(6140),1 ,(990),(17420),,
43000,1293.3,1351.708862,58.41 ,17.54 ,1 ,(11.80),(1180),(4960),1 ,(1180),(16240),,
42993,1321.3,1334.168457,12.87 ,29.75 ,1 ,(28.00),(2800),(2160),1 ,(2800),(13440),,
42986,1347.3,1304.42041,(42.88),21.71 ,1 ,(26.00),(2600),440 ,(1),2600 ,(16040),,
42979,1326.6,1282.705444,(43.89),6.44 ,1 ,20.70 ,2070 ,(1630),(1),(2070),(13970),,
42972,1292.5,1276.269775,(16.23),22.93 ,1 ,34.10 ,3410 ,(5040),(1),(3410),(10560),,
42965,1285.7,1253.343384,(32.36),(4.31),(1),6.80 ,(680),(4360),(1),(680),(9880),,
42958,1287.7,1257.658081,(30.04),11.88 ,1 ,(2.00),(200),(4160),(1),200 ,(10080),,
