Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2015-02-20,1204.4,1217.6199903333327,8.199999999999818,-26.703505857141636,-1.0,-8.199999999999818,309.6000000000006
2015-02-13,1226.5,1244.3234961904743,-22.09999999999991,-17.03364380952462,-1.0,22.09999999999991,317.8000000000004
2015-02-06,1233.9,1261.357139999999,-7.400000000000091,-9.63740380952322,-1.0,7.400000000000091,295.7000000000005
2015-01-30,1278.5,1270.9945438095222,-44.59999999999991,2.8460171428546346,1.0,-44.59999999999991,288.3000000000004
2015-01-23,1292.6,1268.1485266666675,-14.099999999999909,46.15492750649446,1.0,-14.099999999999909,332.9000000000003
2015-01-16,1276.9,1221.993599160173,15.699999999999818,11.871416857143231,1.0,15.699999999999818,347.0000000000002
2015-01-09,1216.1,1210.1221823030298,60.80000000000018,-19.330843506493693,-1.0,-60.80000000000018,331.3000000000004
2015-01-02,1186.2,1229.4530258095235,29.899999999999864,33.586464666665734,1.0,29.899999999999864,392.1000000000006
2014-12-26,1195.3,1195.8665611428578,-9.099999999999909,-17.60808819047611,-1.0,9.099999999999909,362.2000000000007
2014-12-19,1195.9,1213.474649333334,-0.6000000000001364,5.3695440000012695,1.0,-0.6000000000001364,353.1000000000008
2014-12-12,1222.0,1208.1051053333326,-26.09999999999991,-1.3114079999995738,-1.0,26.09999999999991,353.70000000000095
2014-12-05,1190.1,1209.4165133333322,31.90000000000009,12.506295238094708,1.0,31.90000000000009,327.60000000000105
2014-11-28,1175.2,1196.9102180952375,14.899999999999864,6.089720095236316,1.0,14.899999999999864,295.70000000000095
2014-11-21,1197.7,1190.8204980000012,-22.5,27.636051333335445,1.0,-22.5,280.8000000000011
2014-11-14,1185.6,1163.1844466666657,12.100000000000136,-22.103354666668565,-1.0,-12.100000000000136,303.3000000000011
2014-11-07,1169.8,1185.2878013333343,15.799999999999955,-34.29181466666569,-1.0,-15.799999999999955,315.4000000000012
2014-10-31,1171.6,1219.579616,-1.7999999999999545,17.756434000000354,1.0,-1.7999999999999545,331.2000000000012
2014-10-24,1231.2,1201.8231819999996,-59.600000000000136,10.882191333333367,1.0,-59.600000000000136,333.00000000000114
2014-10-17,1238.3,1190.9409906666663,-7.099999999999909,5.332695333333277,1.0,-7.099999999999909,392.6000000000013
2014-10-10,1221.0,1185.608295333333,17.299999999999955,-14.192283333332625,-1.0,-17.299999999999955,399.7000000000012
2014-10-03,1192.2,1199.8005786666656,28.799999999999955,3.3610986666667486,1.0,28.799999999999955,417.00000000000114
2014-09-26,1214.1,1196.4394799999989,-21.899999999999864,-22.334366666665346,-1.0,21.899999999999864,388.2000000000012
2014-09-19,1215.5,1218.7738466666642,-1.400000000000091,0.7666733333314824,1.0,-1.400000000000091,366.3000000000013
2014-09-12,1230.4,1218.0071733333327,-14.900000000000091,-41.896945714285266,-1.0,14.900000000000091,367.7000000000014
2014-09-05,1266.3,1259.904119047618,-35.899999999999864,4.8348543809518105,1.0,-35.899999999999864,352.8000000000013
2014-08-29,1286.5,1255.0692646666662,-20.200000000000045,-21.325256920635184,-1.0,20.200000000000045,388.7000000000012
2014-08-22,1278.6,1276.3945215873014,7.900000000000091,-16.673108222222254,-1.0,-7.900000000000091,368.50000000000114
2014-08-15,1304.5,1293.0676298095236,-25.90000000000009,23.654513809521404,1.0,-25.90000000000009,376.4000000000012
2014-08-08,1308.9,1269.4131160000022,-4.400000000000091,-22.623870507933134,-1.0,4.400000000000091,402.3000000000013
2014-08-01,1294.1,1292.0369865079354,14.800000000000182,1.197172095236283,1.0,14.800000000000182,397.9000000000012
2014-07-25,1303.3,1290.839814412699,-9.200000000000045,-25.61463666666691,-1.0,9.200000000000045,383.10000000000105
2014-07-18,1309.4,1316.454451079366,-6.100000000000136,-1.7704436666667789,-1.0,6.100000000000136,373.900000000001
2014-07-11,1337.4,1318.2248947460328,-28.0,38.719622365080795,1.0,-28.0,367.80000000000086
