Date,Settle,Relative Value
2019-07-31,878.9,845.9302813333335
2019-07-30,872.6,845.9302813333335
2019-07-29,876.8,845.9302813333335
2019-07-26,862.7,845.9302813333335
2019-07-25,868.4,832.71526
2019-07-24,875.2,832.71526
2019-07-23,855.8,832.71526
2019-07-22,847.3,832.71526
2019-07-19,845.9,832.71526
2019-07-18,843.7,831.8696245714285
2019-07-17,841.7,831.8696245714285
2019-07-16,841.5,831.8696245714285
2019-07-15,839.5,831.8696245714285
2019-07-12,828.4,831.8696245714285
2019-07-11,825.0,824.644525142857
2019-07-10,824.1,824.644525142857
2019-07-09,809.1,824.644525142857
2019-07-08,814.3,824.644525142857
2019-07-05,805.2,824.644525142857
2019-07-03,837.2,808.7634565714285
2019-07-02,827.2,808.7634565714285
2019-07-01,831.1,808.7634565714285
2019-06-28,835.5,808.7634565714285
2019-06-27,812.6,800.4846605714285
2019-06-26,816.6,800.4846605714285
2019-06-25,809.8,800.4846605714285
2019-06-24,811.7,800.4846605714285
2019-06-21,811.0,800.4846605714285
2019-06-20,805.6,805.2845080000002
2019-06-19,805.8,805.2845080000002
2019-06-18,802.0,805.2845080000002
2019-06-17,794.6,805.2845080000002
2019-06-14,804.7,805.2845080000002
2019-06-13,809.4,804.0669737142856
2019-06-12,810.5,804.0669737142856
2019-06-11,814.3,804.0669737142856
2019-06-10,805.2,804.0669737142856
2019-06-07,806.1,804.0669737142856
2019-06-06,803.7,803.6229794285713
2019-06-05,802.8,803.6229794285713
2019-06-04,819.1,803.6229794285713
2019-06-03,820.9,803.6229794285713
2019-05-31,794.2,803.6229794285713
2019-05-30,794.1,826.1442011428571
2019-05-29,789.6,826.1442011428571
2019-05-28,795.0,826.1442011428571
2019-05-24,800.6,826.1442011428571
2019-05-23,797.2,855.5894897142858
2019-05-22,802.8,855.5894897142858
2019-05-21,812.7,855.5894897142858
2019-05-20,811.5,855.5894897142858
2019-05-17,818.4,855.5894897142858
2019-05-16,830.9,879.0825066666667
2019-05-15,845.0,879.0825066666667
2019-05-14,856.5,879.0825066666667
2019-05-13,852.3,879.0825066666667
2019-05-10,862.4,879.0825066666667
2019-05-09,848.6,920.9527033333336
2019-05-08,861.2,920.9527033333336
2019-05-07,870.2,920.9527033333336
2019-05-06,877.7,920.9527033333336
2019-05-03,871.6,920.9527033333336
2019-05-02,851.0,928.5033333333337
2019-05-01,874.2,928.5033333333337
2019-04-30,888.1,928.5033333333337
2019-04-29,897.7,928.5033333333337
2019-04-26,898.2,928.5033333333337
2019-04-25,885.3,897.9909320000003
2019-04-24,883.9,897.9909320000003
2019-04-23,889.1,897.9909320000003
2019-04-22,897.5,897.9909320000003
2019-04-18,899.8,897.9909320000003
2019-04-17,886.8,897.9909320000003
2019-04-16,880.2,897.9909320000003
2019-04-15,890.2,897.9909320000003
2019-04-12,893.2,897.9909320000003
2019-04-11,890.3,852.056494666667
2019-04-10,903.2,852.056494666667
2019-04-09,893.9,852.056494666667
2019-04-08,907.6,852.056494666667
2019-04-05,901.0,852.056494666667
2019-04-04,900.0,860.3505777142858
2019-04-03,869.4,860.3505777142858
2019-04-02,848.2,860.3505777142858
2019-04-01,850.1,860.3505777142858
2019-03-29,848.9,860.3505777142858
2019-03-28,838.2,846.5897514285714
2019-03-27,855.6,846.5897514285714
2019-03-26,858.9,846.5897514285714
2019-03-25,856.5,846.5897514285714
2019-03-22,847.2,846.5897514285714
2019-03-21,859.7,842.7331601904762
2019-03-20,858.2,842.7331601904762
2019-03-19,851.2,842.7331601904762
2019-03-18,832.6,842.7331601904762
2019-03-15,830.3,842.7331601904762
2019-03-14,825.6,861.2072060952378
2019-03-13,840.8,861.2072060952378
2019-03-12,831.0,861.2072060952378
2019-03-11,815.2,861.2072060952378
2019-03-08,816.0,861.2072060952378
2019-03-07,815.3,842.8349854285716
2019-03-06,826.2,842.8349854285716
2019-03-05,835.9,842.8349854285716
2019-03-04,836.8,842.8349854285716
2019-03-01,861.6,842.8349854285716
2019-02-28,873.0,802.6524434285712
2019-02-27,867.8,802.6524434285712
2019-02-26,857.8,802.6524434285712
2019-02-25,851.2,802.6524434285712
2019-02-22,843.7,802.6524434285712
2019-02-21,825.0,799.2180559999998
2019-02-20,832.6,799.2180559999998
2019-02-19,819.4,799.2180559999998
2019-02-15,805.3,799.2180559999998
2019-02-14,787.5,822.6726887619046
2019-02-13,790.2,822.6726887619046
2019-02-12,787.8,822.6726887619046
2019-02-11,784.7,822.6726887619046
2019-02-08,801.7,822.6726887619046
2019-02-07,796.0,812.0673093333332
2019-02-06,812.2,812.0673093333332
2019-02-05,817.9,812.0673093333332
2019-02-04,820.9,812.0673093333332
2019-02-01,824.9,812.0673093333332
2019-01-31,823.0,800.29192
2019-01-30,814.6,800.29192
2019-01-29,809.9,800.29192
2019-01-28,809.7,800.29192
2019-01-25,813.5,800.29192
2019-01-24,799.0,807.7111714285714
2019-01-23,792.3,807.7111714285714
2019-01-22,786.5,807.7111714285714
2019-01-18,797.8,807.7111714285714
2019-01-17,807.8,816.7195731428571
2019-01-16,803.4,816.7195731428571
2019-01-15,795.6,816.7195731428571
2019-01-14,798.8,816.7195731428571
2019-01-11,813.0,816.7195731428571
2019-01-10,821.3,813.5891813333334
2019-01-09,820.0,813.5891813333334
2019-01-08,816.5,813.5891813333334
2019-01-07,818.4,813.5891813333334
2019-01-04,822.0,813.5891813333334
2019-01-03,794.5,816.4974773333332
2019-01-02,799.1,816.4974773333332
2018-12-31,795.9,816.4974773333332
2018-12-28,789.6,816.4974773333332
