,Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
0,2019-07-23,25372.0,795.0,8239.0,2592.0,7444.0,572.0,16362.0,2275.0,1924.0,1109.0,2731.0,132.0,23485.0,23316.0,1886.0,2056.0
1,2019-07-16,25782.0,779.0,8275.0,2774.0,7567.0,566.0,16509.0,2483.0,1837.0,1169.0,2823.0,205.0,23839.0,23755.0,1943.0,2027.0
2,2019-07-09,25784.0,1080.0,8466.0,2377.0,7552.0,674.0,16703.0,2627.0,1521.0,1348.0,2676.0,162.0,23865.0,23679.0,1919.0,2106.0
3,2019-07-02,24673.0,1101.0,7808.0,2370.0,7587.0,644.0,15254.0,2660.0,1577.0,1610.0,2349.0,164.0,22721.0,22789.0,1952.0,1884.0
4,2019-06-25,23368.0,1360.0,7466.0,2683.0,7157.0,743.0,13872.0,2476.0,1521.0,1314.0,2003.0,109.0,21602.0,21475.0,1766.0,1893.0
5,2019-06-18,22400.0,1685.0,7272.0,2386.0,7313.0,860.0,12092.0,1082.0,1962.0,1486.0,2057.0,204.0,20676.0,20750.0,1724.0,1650.0
6,2019-06-11,19678.0,1986.0,7283.0,1725.0,6172.0,923.0,11050.0,956.0,831.0,1306.0,1848.0,135.0,17956.0,18147.0,1722.0,1532.0
7,2019-06-04,19345.0,1952.0,7256.0,2037.0,5635.0,994.0,10534.0,1138.0,795.0,1462.0,1816.0,126.0,17900.0,17760.0,1445.0,1584.0
8,2019-05-28,20694.0,2379.0,7800.0,2096.0,5460.0,1463.0,10427.0,1247.0,906.0,1497.0,1763.0,218.0,18988.0,18857.0,1707.0,1837.0
9,2019-05-21,21126.0,2969.0,8279.0,2438.0,5226.0,1457.0,9912.0,1629.0,882.0,1485.0,1882.0,227.0,19370.0,19582.0,1756.0,1544.0
10,2019-05-14,20834.0,2906.0,8592.0,3173.0,5136.0,886.0,9580.0,1461.0,1066.0,1359.0,1857.0,175.0,19145.0,19173.0,1689.0,1661.0
11,2019-05-07,21485.0,2360.0,8346.0,3095.0,5223.0,793.0,10537.0,1255.0,1359.0,1343.0,2645.0,175.0,19662.0,19796.0,1823.0,1689.0
12,2019-04-30,22689.0,1774.0,9113.0,2987.0,5270.0,1147.0,11207.0,1265.0,1725.0,1528.0,2062.0,148.0,20516.0,20730.0,2173.0,1959.0
13,2019-04-23,22644.0,1715.0,8876.0,2917.0,4806.0,1373.0,11067.0,1771.0,1706.0,1618.0,1953.0,240.0,20636.0,20724.0,2009.0,1920.0
14,2019-04-16,22192.0,1382.0,8325.0,2892.0,4831.0,1354.0,11042.0,1747.0,1609.0,1501.0,1871.0,309.0,20089.0,20046.0,2104.0,2147.0
15,2019-04-09,23377.0,1575.0,8800.0,2930.0,5346.0,1640.0,11673.0,1700.0,1769.0,1390.0,1785.0,242.0,21218.0,21280.0,2159.0,2096.0
16,2019-04-02,24253.0,1562.0,9207.0,2909.0,5631.0,1757.0,12552.0,2066.0,1555.0,1428.0,1731.0,191.0,21954.0,22138.0,2299.0,2115.0
17,2019-03-26,27826.0,1340.0,10446.0,2958.0,6359.0,1786.0,15421.0,2885.0,1627.0,1939.0,2281.0,126.0,25195.0,25509.0,2631.0,2317.0
18,2019-03-19,27458.0,1339.0,10486.0,2418.0,6349.0,1757.0,15468.0,2667.0,1567.0,2042.0,2204.0,133.0,24724.0,25163.0,2734.0,2294.0
19,2019-03-12,26966.0,1395.0,10579.0,2420.0,6439.0,1675.0,15586.0,2436.0,1340.0,1910.0,1969.0,108.0,24434.0,24546.0,2532.0,2420.0
20,2019-03-05,26629.0,1089.0,10827.0,2555.0,6389.0,1634.0,16358.0,2321.0,914.0,1725.0,2101.0,92.0,24367.0,24279.0,2261.0,2350.0
21,2019-02-26,28064.0,1282.0,11348.0,2372.0,6696.0,1969.0,16909.0,2477.0,839.0,1852.0,1995.0,286.0,25508.0,25609.0,2555.0,2455.0
22,2019-02-19,28847.0,1723.0,11887.0,2295.0,6597.0,2229.0,17165.0,2541.0,590.0,1766.0,1896.0,656.0,26424.0,26395.0,2423.0,2452.0
23,2019-02-12,29204.0,1884.0,11544.0,2329.0,6413.0,1682.0,16697.0,2895.0,1749.0,1873.0,1795.0,624.0,26838.0,26702.0,2366.0,2502.0
24,2019-02-05,29062.0,1341.0,10967.0,2233.0,6306.0,1864.0,16335.0,2903.0,2449.0,1981.0,1665.0,513.0,26716.0,26667.0,2346.0,2395.0
25,2019-01-29,27496.0,975.0,10952.0,2673.0,6241.0,1504.0,15723.0,2572.0,2425.0,1710.0,1448.0,300.0,25310.0,25442.0,2185.0,2054.0
26,2019-01-22,27308.0,672.0,10617.0,2594.0,6448.0,1776.0,15695.0,2463.0,2323.0,1782.0,1318.0,290.0,25132.0,25235.0,2176.0,2073.0
27,2019-01-15,28761.0,537.0,10228.0,2482.0,7889.0,1846.0,16694.0,2535.0,2527.0,2189.0,1304.0,295.0,26571.0,26624.0,2189.0,2137.0
28,2019-01-08,29078.0,613.0,10386.0,3127.0,8518.0,1726.0,16460.0,2569.0,2415.0,2336.0,1240.0,185.0,26862.0,27039.0,2216.0,2039.0
