Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
2013-01-11,1629.3,1551.4177213333317,42.799999999999955,8.990916666666863,1.0,42.799999999999955,1355.5999999999992
2013-01-04,1555.2,1542.4268046666648,74.09999999999991,-36.80197533333353,-1.0,-74.09999999999991,1312.7999999999993
2012-12-28,1517.4,1579.2287799999983,37.799999999999955,-47.36356933333536,-1.0,-37.799999999999955,1386.8999999999992
2012-12-21,1536.9,1626.5923493333337,-19.5,6.85219999999731,1.0,-19.5,1424.6999999999991
2012-12-14,1614.5,1619.7401493333364,-77.59999999999991,25.750676000001704,1.0,-77.59999999999991,1444.1999999999991
2012-12-07,1607.0,1593.9894733333347,7.5,23.77849933333482,1.0,7.5,1521.799999999999
2012-11-30,1604.6,1570.2109739999999,2.400000000000091,-2.1606126666681575,-1.0,-2.400000000000091,1514.299999999999
2012-11-23,1617.1,1572.371586666668,-12.5,15.914347000002408,1.0,-12.5,1516.6999999999991
2012-11-16,1561.8,1556.4572396666656,55.299999999999955,-7.257915000000594,-1.0,-55.299999999999955,1529.1999999999991
2012-11-09,1559.4,1563.7151546666662,2.3999999999998636,-0.7891386666665312,-1.0,-2.3999999999998636,1584.499999999999
2012-11-02,1544.9,1564.5042933333327,14.5,-51.13571333333607,-1.0,-14.5,1586.899999999999
2012-10-26,1544.3,1615.6400066666688,0.6000000000001364,-43.11158666666165,-1.0,-0.6000000000001364,1601.399999999999
2012-10-19,1613.0,1658.7515933333304,-68.70000000000005,-17.05305333333513,-1.0,68.70000000000005,1601.999999999999
2012-10-12,1657.1,1675.8046466666656,-44.09999999999991,32.61581441269823,1.0,-44.09999999999991,1533.299999999999
2012-10-05,1703.3,1643.1888322539673,-46.200000000000045,12.27350558730268,1.0,-46.200000000000045,1577.399999999999
2012-09-28,1665.3,1630.9153266666647,38.0,-20.32251400000041,-1.0,-38.0,1623.599999999999
2012-09-21,1637.6,1651.237840666665,27.700000000000045,77.63182066666627,1.0,27.700000000000045,1661.599999999999
2012-09-14,1713.7,1573.6060199999988,-76.10000000000014,53.29743799999869,1.0,-76.10000000000014,1633.899999999999
2012-09-07,1596.3,1520.3085820000001,117.40000000000009,4.261087333330579,1.0,117.40000000000009,1709.999999999999
2012-08-31,1537.3,1516.0474946666695,59.0,42.87578133333568,1.0,59.0,1592.599999999999
2012-08-24,1554.4,1473.1717133333339,-17.100000000000136,61.43975752381107,1.0,-17.100000000000136,1533.599999999999
2012-08-17,1473.1,1411.7319558095228,81.30000000000018,-3.5858916666663845,-1.0,-81.30000000000018,1550.6999999999991
2012-08-10,1399.9,1415.3178474761892,73.19999999999982,-6.482008666666616,-1.0,-73.19999999999982,1631.9999999999993
2012-08-03,1414.4,1421.7998561428558,-14.5,-11.225624666669091,-1.0,14.5,1705.1999999999991
2012-07-27,1406.7,1433.0254808095249,7.7000000000000455,-1.5430081904767121,-1.0,-7.7000000000000455,1690.6999999999991
2012-07-20,1412.1,1434.5684890000016,-5.399999999999864,-7.7423976666641465,-1.0,5.399999999999864,1698.3999999999992
2012-07-13,1432.5,1442.3108866666657,-20.40000000000009,1.677492000000484,1.0,-20.40000000000009,1692.9999999999993
2012-07-06,1446.8,1440.6333946666653,-14.299999999999955,-2.780068333334384,-1.0,14.299999999999955,1713.3999999999994
2012-06-29,1449.1,1443.4134629999996,-2.2999999999999545,14.305751857142923,1.0,-2.2999999999999545,1699.0999999999995
2012-06-22,1431.2,1429.1077111428567,17.899999999999864,-11.59100533333185,-1.0,-17.899999999999864,1701.3999999999994
2012-06-15,1487.2,1440.6987164761886,-56.0,12.511532999999645,1.0,-56.0,1719.2999999999993
2012-06-08,1425.1,1428.187183476189,62.100000000000136,-1.5745137142855583,-1.0,-62.100000000000136,1775.2999999999993
2012-06-01,1433.2,1429.7616971904745,-8.100000000000136,-11.479929476192183,-1.0,8.100000000000136,1837.3999999999994
2012-05-25,1424.7,1441.2416266666667,8.5,-26.262945333336347,-1.0,-8.5,1829.2999999999993
2012-05-18,1457.1,1467.504572000003,-32.399999999999864,-35.56657599999812,-1.0,32.399999999999864,1837.7999999999993
2012-05-11,1469.1,1503.0711480000011,-12.0,-32.738421999999446,-1.0,12.0,1805.3999999999994
2012-05-04,1531.8,1535.8095700000006,-62.700000000000045,-20.56064333333393,-1.0,62.700000000000045,1793.3999999999994
2012-04-27,1571.7,1556.3702133333345,-39.90000000000009,-7.2364346666654455,-1.0,39.90000000000009,1730.6999999999994
2012-04-20,1580.4,1563.606648,-8.700000000000045,-0.21386333333362018,-1.0,8.700000000000045,1690.7999999999993
2012-04-13,1583.4,1563.8205113333336,-3.0,-78.73979806349143,-1.0,3.0,1682.0999999999992
2012-04-06,1602.9,1642.560309396825,-19.5,19.181962730157466,1.0,-19.5,1679.0999999999992
2012-03-30,1638.3,1623.3783466666675,-35.399999999999864,-30.03904000000125,-1.0,35.399999999999864,1698.5999999999992
2012-03-23,1627.5,1653.4173866666688,10.799999999999955,-5.115106666665724,-1.0,-10.799999999999955,1663.1999999999994
2012-03-16,1674.0,1658.5324933333345,-46.5,-15.537247333329788,-1.0,46.5,1673.9999999999993
2012-03-09,1683.4,1674.0697406666643,-9.400000000000091,-17.666832666667915,-1.0,9.400000000000091,1627.4999999999993
2012-03-02,1690.2,1691.7365733333322,-6.7999999999999545,43.3863939999967,1.0,-6.7999999999999545,1618.0999999999992
2012-02-24,1713.6,1648.3501793333355,-23.399999999999864,-5.395455428571495,-1.0,23.399999999999864,1624.8999999999992
2012-02-17,1632.4,1653.745634761907,81.19999999999982,27.73370142857607,1.0,81.19999999999982,1601.4999999999993
2012-02-10,1658.3,1626.011933333331,-25.899999999999864,37.94111999999882,1.0,-25.899999999999864,1520.2999999999995
