Date,Settle,Relative Value
2019-07-26,1419.3,1554.147135089959
2019-07-19,1426.7,1494.2688609584657
2019-07-12,1412.2,1487.395013985511
2019-07-05,1400.1,1485.1988979459327
2019-06-28,1413.7,1468.1349234495144
2019-06-21,1396.2,1330.3655489204752
2019-06-14,1340.1,1276.713177174449
2019-06-07,1341.2,1229.8074243029532
2019-05-31,1305.8,1214.958948502135
2019-05-24,1283.0,1247.1298020491663
2019-05-17,1274.5,1208.5311875026457
2019-05-10,1285.7,1143.7668476005379
2019-05-03,1279.2,1135.7264161015285
2019-04-26,1284.9,1142.934699691763
2019-04-12,1290.6,1136.4642937321194
2019-04-05,1290.4,1151.013948660079
2019-03-29,1293.0,1182.7774159046357
2019-03-22,1311.6,1205.6100060891324
2019-03-15,1301.8,1197.7802838835144
2019-03-08,1297.0,1122.200196121647
2019-03-01,1296.4,1129.9341154636923
2019-02-22,1329.2,1191.7295290344086
2019-02-15,1318.1,1149.9208546989048
2019-02-08,1313.7,1149.9789416874405
2019-02-01,1316.9,1136.8430856118696
2019-01-25,1298.1,1220.69351334991
2019-01-18,1282.6,1212.350843899814
2019-01-11,1289.5,1154.6632574595553
2019-01-04,1285.8,1124.7379515406737
2018-12-28,1283.0,1136.447587159123
2018-12-21,1253.8,1081.9750343422763
2018-12-14,1237.0,1080.6899021721388
2018-12-07,1246.8,1019.4464932057067
2018-11-30,1220.2,1049.7354845645852
2018-11-23,1223.2,1198.7836934487357
2018-11-16,1223.0,1181.854685067633
2018-11-09,1208.6,1155.0911269512571
2018-11-02,1233.3,1152.860240855553
2018-10-26,1232.5,1145.1445333986373
2018-10-19,1225.3,1124.5820379007182
2018-10-12,1218.1,1077.1563835395123
2018-10-05,1201.2,1062.897986280597
2018-09-28,1191.5,1048.297062030784
2018-09-21,1196.6,1106.0358548707738
2018-09-14,1196.2,1118.7166379662228
2018-09-07,1195.1,1118.5308723117844
2018-08-31,1201.6,1117.6803110949838
2018-08-24,1206.3,1163.2979342468918
2018-08-17,1176.5,1133.2762716516436
2018-08-10,1211.1,1072.922181051007
2018-08-03,1214.2,1052.762092010185
2018-07-27,1223.0,1150.3445306971666
2018-07-20,1231.1,1189.2093619883462
2018-07-13,1241.2,1146.8563494122836
2018-07-06,1255.8,1161.449589404175
2018-06-29,1254.5,1130.953598049284
2018-06-22,1267.4,1161.4440370996203
2018-06-15,1274.6,1133.314563688306
2018-06-08,1298.1,1156.9883087361775
2018-06-01,1294.8,1195.0275873843505
2018-05-25,1303.3,1230.7131891526221
2018-05-18,1290.2,1246.0182511461328
2018-05-11,1319.0,1219.7195241476697
2018-05-04,1312.7,1210.5845197355093
2018-04-27,1320.3,1206.349141060365
2018-04-20,1336.7,1228.566325639771
2018-04-13,1344.8,1213.9586056103196
2018-04-06,1331.9,1201.6907114184835
2018-03-23,1349.3,1242.0207388750107
2018-03-16,1311.3,1215.848702852001
2018-03-09,1322.4,1201.481040409361
2018-03-02,1321.1,1194.4098563061987
2018-02-23,1328.2,1216.5022090634523
2018-02-16,1353.2,1204.64277813707
2018-02-09,1313.1,1208.5623325820006
2018-02-02,1333.7,1225.5879200108488
2018-01-26,1352.1,1267.7746210558694
2018-01-19,1333.1,1285.060388584725
2018-01-12,1334.9,1229.9094962630274
2018-01-05,1322.3,1238.7380563260697
2017-12-29,1309.3,1198.6298728353747
2017-12-22,1275.4,1241.0804893879847
2017-12-15,1254.3,1240.8135704462816
2017-12-08,1245.2,1221.226594146693
2017-12-01,1278.8,1212.2111538916513
2017-11-24,1287.3,1295.3374387935653
2017-11-17,1296.5,1294.8033687121908
2017-11-10,1274.2,1300.564274064007
2017-11-03,1269.2,1300.4766355504146
2017-10-27,1268.5,1297.1429206298976
2017-10-20,1277.4,1306.1356826457795
2017-10-13,1301.5,1296.8652278345114
2017-10-06,1271.6,1291.9440714825257
2017-09-29,1281.5,1313.5014352655753
2017-09-22,1293.3,1334.518280305944
2017-09-15,1321.3,1369.3243244445298
2017-09-08,1347.3,1389.4369403531791
2017-09-01,1326.6,1337.9200693256628
2017-08-25,1292.5,1323.4335765735837
2017-08-18,1285.7,1270.4504677241212
2017-08-11,1287.7,1242.6795654744271
2017-08-04,1258.3,1260.7570814695155
2017-07-28,1268.4,1297.3237584569865
2017-07-21,1254.9,1296.7233436048402
2017-07-14,1227.5,1273.621001283958
2017-07-07,1209.7,1265.5498648979835
2017-06-30,1242.3,1265.9537465340459
2017-06-23,1256.2,1277.293591464166
2017-06-16,1254.0,1253.612502905811
2017-06-09,1268.5,1279.305988669354
2017-06-02,1276.8,1241.166195580406
2017-05-26,1267.6,1323.7930742382173
2017-05-19,1252.7,1264.7081301642795
2017-05-12,1226.2,1249.7969077051791
2017-05-05,1224.8,1228.5455657094244
2017-04-28,1266.1,1224.1641235307054
2017-04-21,1287.4,1286.2770961702365
2017-04-07,1254.3,1184.3376935555964
2017-03-31,1247.3,1204.5851028478742
2017-03-24,1248.2,1243.5400777263033
2017-03-17,1229.8,1197.0404164453096
2017-03-10,1200.7,1187.6270902039337
2017-03-03,1225.5,1201.9905419510374
2017-02-24,1256.9,1205.7033064155337
2017-02-17,1237.6,1196.9635276078961
2017-02-10,1234.4,1184.7844751742214
2017-02-03,1218.5,1130.7593678784287
2017-01-27,1188.4,1250.341867562304
2017-01-20,1204.9,1239.6791117546331
2017-01-13,1196.2,1196.8502822325088
2017-01-06,1173.4,1166.6734715808775
2016-12-30,1151.7,1112.3397859997065
2016-12-23,1131.9,1190.0750227997066
2016-12-16,1135.3,1190.579840558148
2016-12-09,1159.4,1180.401343902825
2016-12-02,1175.1,1171.5510258182908
2016-11-25,1178.4,1201.3781561730832
2016-11-18,1208.7,1319.8563766702612
2016-11-11,1224.3,1372.1830149244531
2016-11-04,1304.5,1360.643396014418
2016-10-28,1276.8,1367.856425099963
2016-10-21,1265.9,1367.525006915
2016-10-14,1253.1,1361.190155727332
2016-10-07,1248.9,1361.9086435551055
2016-09-30,1313.3,1347.1364546357333
2016-09-23,1337.5,1394.3825433650957
2016-09-16,1306.2,1391.9001510222288
2016-09-09,1330.7,1381.7285442297257
2016-09-02,1323.2,1362.390345579541
2016-08-26,1321.5,1390.2438972923965
2016-08-19,1340.4,1412.1873159991212
2016-08-12,1335.8,1391.2342718369034
2016-08-05,1336.4,1426.6954559932853
2016-07-29,1349.0,1374.167536803728
2016-07-22,1323.4,1443.5284684766236
2016-07-15,1327.4,1491.2978008843168
2016-07-08,1358.4,1501.1014256979727
2016-07-01,1339.0,1436.5968668338576
2016-06-24,1320.0,1411.630078456112
2016-06-17,1292.5,1406.533309861497
2016-06-10,1273.4,1333.9539418346753
2016-06-03,1240.1,1313.2472421430305
2016-05-27,1213.8,1392.694090122314
2016-05-20,1252.4,1431.211148479182
2016-05-13,1271.9,1416.2532112256063
2016-05-06,1292.9,1416.1204223310617
2016-04-29,1289.2,1334.3721888035514
2016-04-22,1228.7,1382.538964079952
2016-04-15,1233.1,1410.0574827144542
2016-04-08,1242.5,1353.799289583422
2016-04-01,1222.2,1328.9070304089505
2016-03-18,1253.8,1418.826266368784
2016-03-11,1258.7,1448.0219065689932
2016-03-04,1269.9,1428.7421918699274
2016-02-26,1219.8,1442.0835154256667
2016-02-19,1230.4,1447.8524262501305
2016-02-12,1239.1,1376.9916324769301
2016-02-05,1157.8,1249.3403022754112
2016-01-29,1116.4,1213.3531112247294
2016-01-22,1096.3,1250.5191329634374
2016-01-15,1090.7,1223.0876203550395
2016-01-08,1097.9,1175.330405851673
2015-12-18,1066.2,1199.6735500887696
2015-12-11,1076.9,1193.739658820538
2015-12-04,1084.5,1169.7783491178236
2015-11-27,1056.2,1174.9305696891092
2015-11-20,1076.3,1286.5044964478745
2015-11-13,1080.9,1286.3428020840813
2015-11-06,1087.7,1304.2889450791733
2015-10-30,1141.4,1323.2796930394102
2015-10-23,1163.3,1343.98505709254
2015-10-16,1183.6,1304.0709976137882
2015-10-09,1156.3,1302.1433565931081
2015-10-02,1137.1,1268.153905961222
2015-09-25,1145.7,1260.426239593414
2015-09-18,1138.1,1243.6514275284226
2015-09-11,1103.3,1267.3487089047976
2015-09-04,1120.9,1270.407136291852
2015-08-28,1133.5,1343.0862433382292
2015-08-21,1159.6,1261.4788381676015
2015-08-14,1112.9,1253.7972682058503
2015-08-07,1094.1,1258.368210050024
2015-07-31,1094.9,1230.5497040461426
2015-07-24,1085.5,1274.470373689743
2015-07-17,1131.9,1235.487024788569
2015-07-10,1157.9,1218.5537456933662
2015-06-26,1173.2,1211.9808197944496
2015-06-19,1201.5,1175.9327730851066
2015-06-12,1178.8,1188.3476263030252
2015-06-05,1167.8,1223.396879099837
2015-05-29,1189.4,1212.66454355726
2015-05-22,1204.3,1252.8094322813804
2015-05-15,1225.5,1227.5029726205096
2015-05-08,1189.1,1258.2394307058614
2015-05-01,1174.5,1262.0892456248712
2015-04-24,1175.2,1295.276454858346
2015-04-17,1202.9,1286.164733027943
2015-04-10,1204.6,1276.8950713393149
2015-03-27,1199.8,1359.9419507144694
2015-03-20,1184.8,1320.6774031174448
2015-03-13,1152.6,1261.3278818869949
2015-03-06,1164.1,1240.602366745853
2015-02-27,1212.6,1227.7176070488154
2015-02-20,1204.4,1228.4901523388648
2015-02-13,1226.5,1256.5123626434472
2015-02-06,1233.9,1309.8611272929202
2015-01-30,1278.5,1302.2266082349836
2015-01-23,1292.6,1370.474386841425
2015-01-16,1276.9,1265.8456357488506
2015-01-09,1216.1,1221.38515079192
2015-01-02,1186.2,1139.1673852560255
2014-12-26,1195.3,1171.528326205524
2014-12-19,1195.9,1235.051064892696
2014-12-12,1222.0,1213.3121568088136
2014-12-05,1190.1,1191.0825356663358
2014-11-28,1175.2,1198.4935353151213
2014-11-21,1197.7,1350.1518221905778
2014-11-14,1185.6,1330.867621421014
2014-11-07,1169.8,1277.488692869161
2014-10-31,1171.6,1231.781627561766
2014-10-24,1231.2,1288.5526082873878
2014-10-17,1238.3,1231.4820108727977
2014-10-10,1221.0,1199.6800268878378
2014-10-03,1192.2,1150.5640134459204
2014-09-26,1214.1,1175.3780500279863
2014-09-19,1215.5,1163.8126245456865
2014-09-12,1230.4,1161.8685501982964
2014-09-05,1266.3,1132.8186178097062
2014-08-29,1286.5,1116.2115973289526
2014-08-22,1278.6,1143.7516543883671
2014-08-15,1304.5,1121.369980856305
2014-08-08,1308.9,1102.9998800799958
2014-08-01,1294.1,1106.1483351454722
2014-07-25,1303.3,1154.0675370600613
2014-07-18,1309.4,1139.290466076576
2014-07-11,1337.4,1112.7007609596142
2014-06-27,1320.0,1139.4045729492814
2014-06-20,1316.2,1125.9020058160463
2014-06-13,1273.7,1127.9769496044466
2014-06-06,1252.1,1149.8545339681484
2014-05-30,1245.6,1144.1272067157872
2014-05-23,1291.6,1202.7833901693357
2014-05-16,1293.3,1196.653646838576
2014-05-09,1287.3,1170.9673973082167
2014-05-02,1302.6,1134.6458301149323
2014-04-25,1300.7,1137.5158215018046
2014-04-11,1318.7,1126.0538019298194
2014-04-04,1303.2,1104.9815534486333
2014-03-28,1293.8,1180.8074736261565
2014-03-21,1336.0,1289.4711120132804
2014-03-14,1379.0,1245.877022464667
2014-03-07,1338.1,1242.4414164577158
2014-02-28,1321.4,1197.289527295402
2014-02-21,1323.9,1210.8021556150359
2014-02-14,1319.0,1186.6375334020083
2014-02-07,1263.3,1192.3446126417423
2014-01-31,1240.1,1168.9446059740417
2014-01-24,1264.3,1212.14798455268
